PRK_NM,PRK_CD,PRK_TYPE,CPCTY,CUR_PRK_CNT,CUR_PRK_TIME,CUR_PRK_YN,PAY_YN,RATES,TIME_RATES,ADD_RATES,ADD_TIME_RATES,ADDRESS,ROAD_ADDR,LNG,LAT
영등포구 여의도동 17-8,3092076,BS,126,,,N,Y,0,30,1000,10,영등포구 여의도동 17-8,,126.917375,37.526653
여의도파란곤,3091577,BS,551,,,N,Y,2000,30,500,10,영등포구 여의도동 13-0,,126.921189,37.530953
오투타워,2943299,BS,309,,,N,Y,3000,30,0,0,영등포구 여의도동 23-6,,126.923408,37.52337
여의도한강공원1주차장(63빌딩앞),1449041,BP,462,263,2025-01-09 13:20:07,Y,Y,2000,,300,,영등포구 여의도동 86-5 ,영등포구 여의동로 252,126.93973139,37.52217837
여의도한강2주차장(마포대교남단),1448975,BP,171,171,2025-01-09 13:20:56,Y,Y,2000,,300,,영등포구 여의도동 84-4 ,영등포구 여의동로 343,126.931198,37.528797
여의도한강4주차장(여의2교-하부파천교),1449043,BP,141,104,2025-01-09 13:20:30,Y,Y,2000,,300,,영등포구 여의도동 19-0 ,영등포구 국회대로 758,126.913163,37.526097
여의도한강5주차장(성모병원앞),1449042,BP,217,173,2025-01-09 13:20:31,Y,Y,1000,,200,,영등포구 여의도동 63-0 ,영등포구 국제금융로 124,126.93576386,37.51696501
여의도한강3주차장(서강대교남단),1448976,BP,800,457,2025-01-09 13:20:51,Y,Y,2000,,300,,영등포구 여의도동 83-6 ,영등포구 여의서로 62,126.924436,37.53240356
여의도공원앞1 노상주차장(구),119824,NS,14,0,,Y,Y,500,,1000,,영등포구 여의도동 2-11,영등포구 의사당대로 38,126.91752873,37.52401149
여의서로 공영주차장(시),1563333,NS,84,39,2025-01-09 13:20:36,Y,Y,160,,160,,영등포구 여의도동 8-1,,126.91710703,37.53316046
원효대교 남단 공영주차장(시),1543529,NS,13,6,2025-01-09 13:20:32,Y,Y,160,,160,,영등포구 여의도동 5-0,영등포구 여의대방로 376-2,126.93700355,37.52245963
